Regex;Lines;Visited;Cache Size(Found);Counters;Max CS;Status
((http://|https://|//)[-a-zA-Z0-9@:%_\+.~\#?&=]{2,256}\.[a-z]{2,4}[^\"\n\r']*)';260(.)(.{11})(.{20})(.{32});63(.)(.{11})(.{52});63(.{0,255})$;255(.{1,134});134(.{1,60});60(.{1,60})([ \n\t\r\f]|$);60(.{1,60}|[^ \n\t\r\f]+)(?:[ \n\t\r\f]+|$);60(.{1,64});64(.{1,66});66(.{1,66})(?:[ \n\t\r\f]+|$);66(.{1,69})[ \n];69(.{1,70});70(.{1,72})([ \n\t\r\f]);72(.{1,72})([ \n\t\r\f]+|\Z);72(.{1,74});74(.{1,76});76(.{1,76})( +|$);76(.{1,76}[^0-9a-zA-Z_]);76(.{1,78}) (\|\| |$) ?;78(.{1,78})(,|$) ?;78(.{1,78})(?: +|$)\n?|(.{78});156(.{1,78}[^ \n\t\r\f])(?:[ \n\t\r\f]|$);78(.{1,80})([ \n\t\r\f]+|$);80(.{100});100(.{100}).+;100(.{100}.*?),.*;;;;;;Error while converting to DCA: Match generation with mixed lazy and eager loops currently not supported.
(.{1000,}[^>]*>)<;1000(.{140});140(.{2,60})\|.{0,200};260(.{240}[^\]);;;;;;Error while converting to DCA: analýza (.{240}[^\]) - Chybí pravá hranatá závorka (]).
(.{512}[^ ]*[ ]);512(.{55,78},);78(.{60,75} );75(.{60,75},);75(.{60});60(.{64});64(.{64})(.{64});128(.{64}).*;64(.{69});69(.{72});72(.{75}).+;75(.{76});76(.{78});78(.{80});80(.{80}[^ \n\t\r\f]+);80(.|[\r\n]){1,2000};2000(::|(((0:){5}(0|[fF]{4})|:(:[fF]{4})?):((25[0-5]|2[0-4][0-9]|1[0-9]{2}|[1-9][0-9]?|0)(\.(25[0-5]|2[0-4][0-9]|1[0-9]{2}|[1-9][0-9]?|0)){3}))|([a-fA-F0-9]{1,4}:){7}([a-fA-F0-9]{1,4})|(:(:[a-fA-F0-9]{1,4}){1,6})|(([a-fA-F0-9]{1,4}:){1,6}:)|(([a-fA-F0-9]{1,4}:)(:[a-fA-F0-9]{1,4}){1,6})|(([a-fA-F0-9]{1,4}:){2}(:[a-fA-F0-9]{1,4}){1,5})|(([a-fA-F0-9]{1,4}:){3}(:[a-fA-F0-9]{1,4}){1,4})|(([a-fA-F0-9]{1,4}:){4}(:[a-fA-F0-9]{1,4}){1,3})|(([a-fA-F0-9]{1,4}:){5}(:[a-fA-F0-9]{1,4}){1,2}));;;;;;Error while converting to DCA: Error: Creating loop in NCA.
(?:(?:[A-Z0-9](?:[A-Z0-9-]{0,61}[A-Z0-9])?\.)+(?:[A-Z]{2,6}\.?|[A-Z0-9-]{2,}\.?)|localhost|[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}|\[?[A-F0-9]*:[A-F0-9:]+\]?)(?::[0-9]+)?(?:/?|[/?][^ \n\t\r\f]+)$;;;;;;TIMEOUT while converting to DCA.
(?:(?:[p??][h?])|[fd]).{1,3}[k??c??x???q];3(?:.){100,};100(?:[a-z](?:[-a-z0-9]{0,61}[a-z0-9])?);61(?:[-a-zA-Z0-9@%._\+~#=]{2,256}://)?(?:www\.)?[-a-zA-Z0-9@:%\._\+~#=]{2,256}\.[a-z]{2,6}[-a-zA-Z0-9@:%_\+.~#?&//=]*[ \n\t\r\f]*;518(?:^|[^0-9a-f])([0-9a-f]{64})(?:[^0-9a-f]|$);64(?:^|\ {30})\ *[A-Z][a-z]{2}\ +[0-9]+\ +([0-9]+)\n\t\t\t   \ +([-+]?[0-9]+(?:\.[0-9]+)?)\n\t\t\t   (?:\ +(?:-|[-+]?[0-9]+(?:\.[0-9]+)?)){1,2}\n\t\t\t   (?:\ *[\r\n]|\ {30});;;;;;TIMEOUT while converting to DCA.
(?:4[0-9]{12}(?:[0-9]{3})?|5[1-5][0-9]{14}|6(?:011|5[0-9][0-9])[0-9]{12}|3[47][0-9]{13}|3(?:0[0-5]|[68][0-9])[0-9]{11}|(?:2131|1800|35[0-9]{3})[0-9]{11});;;;;;TIMEOUT while converting to DCA.
(?:a(?:b(?:c(?:d(?:e(?:f(?:g(?:h(?:i(?:FooBar){3,6}){3,6}){3,6}){3,6}){3,6}){3,6}){3,6}){3,6}){3,6}){3,6};;;;;;Error while converting to DCA: Error: Creating loop in NCA.
(?:http|ftp)s?://(?:(?:[A-Z0-9](?:[A-Z0-9-]{0,61}[A-Z0-9])?\.)+(?:[A-Z]{2,6}\.?|[A-Z0-9-]{2,}\.?)|localhost|[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3})(?::[0-9]+)?(?:[/?][^ \n\t\r\f]*);;;;;;TIMEOUT while converting to DCA.
(?<bank_code>[0-9a-zA-Z_]{8,11})\/(?<account_number>[0-9]{0,23})(?<currency>[A-Z]{3})?|(?<country>[a-zA-Z]{2})(?<ban>[0-9]{11,36});75(?-i)[^ \n\t\r\f]{0,50}([a-z]+[A-Z]+[0-9]+|[a-z]+[0-9]+[A-Z]+|[A-Z]+[a-z]+[0-9]+|[A-Z]+[0-9]+[a-z]+|[0-9]+[a-z]+[A-Z]+|[0-9]+[A-Z]+[a-z]+|[a-z]+[A-Z]+[^a-zA-Z0-9 \n\t\r\f]+|[a-z]+[^a-zA-Z0-9 \n\t\r\f]+[A-Z]+|[A-Z]+[a-z]+[^a-zA-Z0-9 \n\t\r\f]+|[A-Z]+[^a-zA-Z0-9 \n\t\r\f]+[a-z]+|[^a-zA-Z0-9 \n\t\r\f]+[a-z]+[A-Z]+|[^a-zA-Z0-9 \n\t\r\f]+[A-Z]+[a-z]+|[0-9]+[A-Z]+[^a-zA-Z0-9 \n\t\r\f]+|[0-9]+[^a-zA-Z0-9 \n\t\r\f]+[A-Z]+|[A-Z]+[0-9]+[^a-zA-Z0-9 \n\t\r\f]+|[A-Z]+[^a-zA-Z0-9 \n\t\r\f]+[0-9]+|[^a-zA-Z0-9 \n\t\r\f]+[0-9]+[A-Z]+|[^a-zA-Z0-9 \n\t\r\f]+[A-Z]+[0-9]+|[a-z]+[0-9]+[^a-zA-Z0-9 \n\t\r\f]+|[a-z]+[^a-zA-Z0-9 \n\t\r\f]+[0-9]+|[0-9]+[a-z]+[^a-zA-Z0-9 \n\t\r\f]+|[0-9]+[^a-zA-Z0-9 \n\t\r\f]+[a-z]+|[^a-zA-Z0-9 \n\t\r\f]+[a-z]+[0-9]+|[^a-zA-Z0-9 \n\t\r\f]+[0-9]+[a-z]+)[^ \n\t\r\f]{0,50};100(?i)[0-9a-z\-_]{100,};;;;;;TIMEOUT while converting to DCA.
(?i)[a-f0-9]{32,64};64(?i)\A[A-Z0-9._%+-]{1,64}@(?:[A-Z0-9-]*\.){1,125}[A-Z]{2,63}\z;;;;;;Error while converting to DCA: Error: Creating loop in NCA.
(?i)^[a-z][a-z0-9_]{0,127}$;127(?i)^[a-z0-9](?:[a-z0-9-]{0,61}[a-z0-9])?(?:.[a-z0-9](?:[a-z0-9-]{0,61}[a-z0-9])?)*$;123(?i)^[a-z0-9][a-z0-9._-]{0,127}$;127(@donpenabot[ \n\t\r\f])+(recuerdame)+([ \n\t\r\f].{0,140})+([ \n\t\r\f]el[ \n\t\r\f])+([0-9]{2,4}-[0-9]{2,4}-[0-9]{2,4});;;;;;TIMEOUT while converting to DCA.
([\a-z0-9_\-\.]+)@([a-z0-9-]{1,64})\.([a-z]{2,10});74([^.]{2,63})$;63([^.]{63})[^.]+;63([^\n]{70});70([_a-zA-Z0-9-]+\.[_a-zA-Z0-9-]*)\@((([a-zA-Z0-9-]{2,255})\.(ad|ae|af|ag|ai|al|am|an|ao|aq|ar|as|at|au|aw|az|ba|bb|bd|be|bf|bg|bh|bi|bj|bm|bn|bo|br|bs|bt|bv|bw|by|bz|ca|cc|cf|cg|ch|ci|ck|cl|cm|cn|co|cr|cu|cv|cx|cy|cz|de|di|dk|dm|do|dz|ec|ee|eg|eh|er|es|et|fi|fj|fk|fm|fo|fr|ga|gb|gd|ge|gf|gh|gi|gl|gm|gn|gp|gq|gr|gs|gt|gu|gw|gy|hk|hm|hn|hr|ht|hu|id|ie|il|in|io|iq|ir|is|it|jo|jm|jp|ke|kg|kh|ki|km|kn|kp|kr|kw|ky|kz|la|lb|lc|li|lk|lr|ls|lt|lu|lv|ly|ma|mc|md|mg|mh|mk|ml|mm|mn|mo|mp|mq|mr|ms|mt|mu|mv|mw|mx|my|mz|an|nc|ne|nf|ng|ni|nl|no|np|nr|nt|nu|nz|om|pa|pe|pf|pg|ph|pk|pl|pm|pn|pr|pt|pw|py|qa|re|ro|ru|rw|sa|sb|sc|sd|se|sq|sh|si|sj|sk|sl|sm|sn|so|sr|st|su|sv|sy|sz|tc|td|tf|tg|th|tj|tk|tm|tn|to|tp|tr|tt|tv|tw|tz|ua|ug|uk|um|us|uy|uz|va|vc|ve|vg|vi|vn|vu|wf|ws|ye|yt|yu|za|zm|zr|zw|arpa|arts|biz|com|edu|firm|gov|info|int|mil|nato|net|nom|org|rec|store|web))|((25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9])\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[0-9])));;;;;;TIMEOUT while converting to DCA.
([0-9]{1,9999})\:([0-9]{1,9999});;;;;;TIMEOUT while converting to DCA.
([0-9a-f]{16})[0-9a-f]{48};;;;;;TIMEOUT while converting to DCA.
([0-9a-f]{64});;;;;;TIMEOUT while converting to DCA.
([0-9a-fA-F]){64};64([0-9a-fA-F]{64,});64([0-9a-fA-F]{64})\/?$;64([0-9a-fA-F]{64}|[0-9a-fA-F]{40}|[0-9a-fA-F]{32});136([0-9a-z]{64})$;64'([a-f0-9]{96})';96([a-fA-F0-9]{64});64([a-z0-9\-]{1,100}~)?([a-z0-9][a-z0-9\-\.]{0,99}:)?([a-z0-9][a-z0-9\-]{0,99});298([A-Z0-9\!\#\$\&\.\+\-\^\_]{1,127})/([A-Z0-9\!\#\$\&\.\+\-\^\_]{1,127});;;;;;Error while converting to DCA: analýza ([A-Z0-9\!\#\$\&\.\+\-\^\_]{1,127})/([A-Z0-9\!\#\$\&\.\+\-\^\_]{1,127}) - Nerozpoznaná řídicí sekvence \_.
([a-z0-9]{64});64([a-zA-Z0-9._-]{1,30}@[a-zA-Z0-9._-]{2,15}\.[a-zA-Z0-9._-]{2,15});60([a-zA-Z0-9-\, \n\t\r\f]{2,64});64([a-zA-Z0-9][a-zA-Z0-9-]{1,61}[a-zA-Z0-9])\.[a-zA-Z]{2,};63(\((?:[^\(\)]|\([^\(\)]*\)){0,250})\n((?:[^\(\)]|\([^\(\)]*\)){0,250}\));;;;;;TIMEOUT while converting to DCA.
(\([^\(\)]{0,250})\n([^\(\)]{0,250}\));;;;;;TIMEOUT while converting to DCA.
(\[[^\[\]]{0,250})\n([^\[\]]{0,250}\]);;;;;;TIMEOUT while converting to DCA.
(\A([0-9a-f]{1,4}:){1,1}(:[0-9a-f]{1,4}){1,6}\Z)|(\A([0-9a-f]{1,4}:){1,2}(:[0-9a-f]{1,4}){1,5}\Z)|(\A([0-9a-f]{1,4}:){1,3}(:[0-9a-f]{1,4}){1,4}\Z)|(\A([0-9a-f]{1,4}:){1,4}(:[0-9a-f]{1,4}){1,3}\Z)|(\A([0-9a-f]{1,4}:){1,5}(:[0-9a-f]{1,4}){1,2}\Z)|(\A([0-9a-f]{1,4}:){1,6}(:[0-9a-f]{1,4}){1,1}\Z)|(\A(([0-9a-f]{1,4}:){1,7}|:):\Z)|(\A:(:[0-9a-f]{1,4}){1,7}\Z)|(\A((([0-9a-f]{1,4}:){6})(25[0-5]|2[0-4][0-9]|[0-1]?[0-9]?[0-9])(\.(25[0-5]|2[0-4][0-9]|[0-1]?[0-9]?[0-9])){3})\Z)|(\A(([0-9a-f]{1,4}:){5}[0-9a-f]{1,4}:(25[0-5]|2[0-4][0-9]|[0-1]?[0-9]?[0-9])(\.(25[0-5]|2[0-4][0-9]|[0-1]?[0-9]?[0-9])){3})\Z)|(\A([0-9a-f]{1,4}:){5}:[0-9a-f]{1,4}:(25[0-5]|2[0-4][0-9]|[0-1]?[0-9]?[0-9])(\.(25[0-5]|2[0-4][0-9]|[0-1]?[0-9]?[0-9])){3}\Z)|(\A([0-9a-f]{1,4}:){1,1}(:[0-9a-f]{1,4}){1,4}:(25[0-5]|2[0-4][0-9]|[0-1]?[0-9]?[0-9])(\.(25[0-5]|2[0-4][0-9]|[0-1]?[0-9]?[0-9])){3}\Z)|(\A([0-9a-f]{1,4}:){1,2}(:[0-9a-f]{1,4}){1,3}:(25[0-5]|2[0-4][0-9]|[0-1]?[0-9]?[0-9])(\.(25[0-5]|2[0-4][0-9]|[0-1]?[0-9]?[0-9])){3}\Z)|(\A([0-9a-f]{1,4}:){1,3}(:[0-9a-f]{1,4}){1,2}:(25[0-5]|2[0-4][0-9]|[0-1]?[0-9]?[0-9])(\.(25[0-5]|2[0-4][0-9]|[0-1]?[0-9]?[0-9])){3}\Z)|(\A([0-9a-f]{1,4}:){1,4}(:[0-9a-f]{1,4}){1,1}:(25[0-5]|2[0-4][0-9]|[0-1]?[0-9]?[0-9])(\.(25[0-5]|2[0-4][0-9]|[0-1]?[0-9]?[0-9])){3}\Z)|(\A(([0-9a-f]{1,4}:){1,5}|:):(25[0-5]|2[0-4][0-9]|[0-1]?[0-9]?[0-9])(\.(25[0-5]|2[0-4][0-9]|[0-1]?[0-9]?[0-9])){3}\Z)|(\A:(:[0-9a-f]{1,4}){1,5}:(25[0-5]|2[0-4][0-9]|[0-1]?[0-9]?[0-9])(\.(25[0-5]|2[0-4][0-9]|[0-1]?[0-9]?[0-9])){3}\Z);;;;;;TIMEOUT while converting to DCA.
([0-9]{3,})[ \n\t\r\f]?([0-9a-zA-Z_]{0,5})[ \n\t\r\f]([a-zA-Z]{2,30})[ \n\t\r\f]([a-zA-Z]{2,15})\.?[ \n\t\r\f]?([0-9a-zA-Z_]{0,5});;;;;;TIMEOUT while converting to DCA.
(\n)+(.{0,80}(\n)){4,};;;;;;TIMEOUT while converting to DCA.
(\n[ \n\t\r\f]+)(criterion .*\n)([ \n\t\r\f].+){1,99};;;;;;TIMEOUT while converting to DCA.
([ \n\t\r\f]*at f \(\[eval\]:1:[0-9]*\)\r?\n){100};;;;;;TIMEOUT while converting to DCA.
([^ \n\t\r\f]{60});60([^ \n\t\r\f]{64});64([^ \n\t\r\f]{70});70([0-9a-zA-Z_]{24})([.])([0-9a-zA-Z_]{6})([.])([0-9a-zA-Z_]{27});57([0-9a-zA-Z_]{3,20}) ([0-9]{1,5}), ([0-9a-zA-Z_]{2,20}), country: ([0-9a-zA-Z_]{2,20});;;;;;TIMEOUT while converting to DCA.
([0-9a-zA-Z_]{62})([0-9a-zA-Z_]);62(^(5[0678])[0-9]{11,18}$)|(^(6[^05])[0-9]{11,18}$)|(^(601)[^1][0-9]{9,16}$)|(^(6011)[0-9]{9,11}$)|(^(6011)[0-9]{13,16}$)|(^(65)[0-9]{11,13}$)|(^(65)[0-9]{15,18}$)|(^(49030)[2-9]([0-9]{10}$|[0-9]{12,13}$))|(^(49033)[5-9]([0-9]{10}$|[0-9]{12,13}$))|(^(49110)[1-2]([0-9]{10}$|[0-9]{12,13}$))|(^(49117)[4-9]([0-9]{10}$|[0-9]{12,13}$))|(^(49118)[0-2]([0-9]{10}$|[0-9]{12,13}$))|(^(4936)([0-9]{12}$|[0-9]{14,15}$));;;;;;TIMEOUT while converting to DCA.
(^(5[0678])[0-9]{11,18}$)|(^(6[^05])[0-9]{11,18}$)|(^(601)[^1][0-9]{9,16}$)|(^(6011)[0-9]{9,11}$)|(^(6011)[0-9]{13,16}$)|(^(65)[0-9]{11,13}$)|(^(65)[0-9]{15,18}$)|(^(49030)[2-9]([0-9]{10}$|[0-9]{12,13}$))|(^(49033)[5-9]([0-9]{10}$|[0-9]{12,13}$))|(^(49110)[1-2]([0-9]{10}$|[0-9]{12,13}$))|(^(49117)[4-9]([0-9]{10}$|[0-9]{12,13}$))|(^(49118)[0-2]([0-9]{10}$|[0-9]{12,13}$))|(^(4936)([0-9]{12}$|[0-9]{14,15}$));;;;;;TIMEOUT while converting to DCA.
(^(MD5:)?([a-f0-9]{2}:){15}[a-f0-9]{2})|(^SHA256:[a-zA-Z0-9\/\+]{43})$;;;;;;TIMEOUT while converting to DCA.
